iso_time,raw_line
2025-09-09T10:42:20,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:20,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:20,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:21,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:22,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:23,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
